fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,2016-08-08T18:09:01Z,32.21096667,-101.52635000,-3064.990014242425,-3919.633874207623,1,1,117.216,
2,2016-08-08T18:09:31Z,32.21086667,-101.52643333,-3034.990014242425,-3889.633874207623,2,1,117.23,
3,2016-08-08T18:10:01Z,32.21086667,-101.52656667,-3004.990014242425,-3859.633874207623,3,1,117.238,
4,2016-08-08T18:10:31Z,32.21091667,-101.52643333,-2974.990014242425,-3829.633874207623,4,1,117.226,
5,2016-08-08T18:11:01Z,32.21093333,-101.52643333,-2944.990014242425,-3799.633874207623,5,1,117.224,
6,2016-08-08T18:11:31Z,32.21095000,-101.52641667,-2914.990014242425,-3769.633874207623,6,1,117.222,
7,2016-08-08T18:12:01Z,32.21093333,-101.52643333,-2884.990014242425,-3739.633874207623,7,1,117.224,
8,2016-08-08T18:12:31Z,32.21095000,-101.52641667,-2854.990014242425,-3709.633874207623,8,1,117.222,
9,2016-08-08T18:13:01Z,32.21093333,-101.52643333,-2824.990014242425,-3679.633874207623,9,1,117.224,
10,2016-08-08T18:13:31Z,32.20973333,-101.52646667,-2794.990014242425,-3649.633874207623,10,1,117.331,
11,2016-08-08T18:13:35Z,32.20905000,-101.52658333,-2790.990014242425,-3645.633874207623,11,1,117.397,
12,2016-08-08T18:13:36Z,32.20890000,-101.52663333,-2789.990014242425,-3644.633874207623,12,1,117.413,
13,2016-08-08T18:13:37Z,32.20876667,-101.52668333,-2788.990014242425,-3643.633874207623,13,1,117.428,
14,2016-08-08T18:13:38Z,32.20863333,-101.52673333,-2787.990014242425,-3642.633874207623,14,1,117.442,
15,2016-08-08T18:13:39Z,32.20850000,-101.52676667,-2786.990014242425,-3641.633874207623,15,1,117.456,
16,2016-08-08T18:13:40Z,32.20836667,-101.52681667,-2785.990014242425,-3640.633874207623,16,1,117.47,
17,2016-08-08T18:13:41Z,32.20825000,-101.52685000,-2784.990014242425,-3639.633874207623,17,1,117.482,
18,2016-08-08T18:13:42Z,32.20811667,-101.52690000,-2783.990014242425,-3638.633874207623,18,1,117.497,
19,2016-08-08T18:13:43Z,32.20801667,-101.52693333,-2782.990014242425,-3637.633874207623,19,1,117.508,
20,2016-08-08T18:13:44Z,32.20793333,-101.52698333,-2781.990014242425,-3636.633874207623,20,1,117.518,
21,2016-08-08T18:13:45Z,32.20785000,-101.52703333,-2780.990014242425,-3635.633874207623,21,1,117.528,
22,2016-08-08T18:13:46Z,32.20776667,-101.52708333,-2779.990014242425,-3634.633874207623,22,1,117.538,
23,2016-08-08T18:13:47Z,32.20768333,-101.52713333,-2778.990014242425,-3633.633874207623,23,1,117.548,
24,2016-08-08T18:13:48Z,32.20758333,-101.52720000,-2777.990014242425,-3632.633874207623,24,1,117.561,
25,2016-08-08T18:13:49Z,32.20746667,-101.52725000,-2776.990014242425,-3631.633874207623,25,1,117.574,
26,2016-08-08T18:13:50Z,32.20736667,-101.52733333,-2775.990014242425,-3630.633874207623,26,1,117.588,
27,2016-08-08T18:13:51Z,32.20726667,-101.52738333,-2774.990014242425,-3629.633874207623,27,1,117.599,
28,2016-08-08T18:13:52Z,32.20716667,-101.52745000,-2773.990014242425,-3628.633874207623,28,1,117.612,
29,2016-08-08T18:13:53Z,32.20706667,-101.52750000,-2772.990014242425,-3627.633874207623,29,1,117.624,
30,2016-08-08T18:13:54Z,32.20698333,-101.52753333,-2771.990014242425,-3626.633874207623,30,1,117.633,
31,2016-08-08T18:13:55Z,32.20686667,-101.52758333,-2770.990014242425,-3625.633874207623,31,1,117.646,
32,2016-08-08T18:13:56Z,32.20676667,-101.52763333,-2769.990014242425,-3624.633874207623,32,1,117.658,
33,2016-08-08T18:13:57Z,32.20666667,-101.52768333,-2768.990014242425,-3623.633874207623,33,1,117.669,
34,2016-08-08T18:13:58Z,32.20655000,-101.52771667,-2767.990014242425,-3622.633874207623,34,1,117.681,
35,2016-08-08T18:13:59Z,32.20643333,-101.52775000,-2766.990014242425,-3621.633874207623,35,1,117.694,
36,2016-08-08T18:14:00Z,32.20633333,-101.52776667,-2765.990014242425,-3620.633874207623,36,1,117.703,
37,2016-08-08T18:14:01Z,32.20621667,-101.52776667,-2764.990014242425,-3619.633874207623,37,1,117.713,
38,2016-08-08T18:14:02Z,32.20613333,-101.52778333,-2763.990014242425,-3618.633874207623,38,1,117.722,
39,2016-08-08T18:14:03Z,32.20601667,-101.52780000,-2762.990014242425,-3617.633874207623,39,1,117.733,
40,2016-08-08T18:14:04Z,32.20591667,-101.52778333,-2761.990014242425,-3616.633874207623,40,1,117.741,
41,2016-08-08T18:14:05Z,32.20580000,-101.52776667,-2760.990014242425,-3615.633874207623,41,1,117.75,
42,2016-08-08T18:14:06Z,32.20566667,-101.52775000,-2759.990014242425,-3614.633874207623,42,1,117.761,
43,2016-08-08T18:14:07Z,32.20555000,-101.52775000,-2758.990014242425,-3613.633874207623,43,1,117.771,
44,2016-08-08T18:14:08Z,32.20541667,-101.52776667,-2757.990014242425,-3612.633874207623,44,1,117.783,
45,2016-08-08T18:14:09Z,32.20530000,-101.52776667,-2756.990014242425,-3611.633874207623,45,1,117.794,
46,2016-08-08T18:14:10Z,32.20520000,-101.52778333,-2755.990014242425,-3610.633874207623,46,1,117.803,
47,2016-08-08T18:14:11Z,32.20510000,-101.52778333,-2754.990014242425,-3609.633874207623,47,1,117.812,
48,2016-08-08T18:14:12Z,32.20498333,-101.52780000,-2753.990014242425,-3608.633874207623,48,1,117.823,
49,2016-08-08T18:14:13Z,32.20486667,-101.52781667,-2752.990014242425,-3607.633874207623,49,1,117.835,
50,2016-08-08T18:14:14Z,32.20473333,-101.52783333,-2751.990014242425,-3606.633874207623,50,1,117.847,
51,2016-08-08T18:14:15Z,32.20460000,-101.52785000,-2750.990014242425,-3605.633874207623,51,1,117.86,
52,2016-08-08T18:14:16Z,32.20445000,-101.52786667,-2749.990014242425,-3604.633874207623,52,1,117.874,
53,2016-08-08T18:14:17Z,32.20433333,-101.52788333,-2748.990014242425,-3603.633874207623,53,1,117.885,
54,2016-08-08T18:14:18Z,32.20421667,-101.52790000,-2747.990014242425,-3602.633874207623,54,1,117.896,
55,2016-08-08T18:14:19Z,32.20411667,-101.52793333,-2746.990014242425,-3601.633874207623,55,1,117.907,
56,2016-08-08T18:14:20Z,32.20403333,-101.52795000,-2745.990014242425,-3600.633874207623,56,1,117.915,
57,2016-08-08T18:14:21Z,32.20395000,-101.52798333,-2744.990014242425,-3599.633874207623,57,1,117.925,
58,2016-08-08T18:14:22Z,32.20385000,-101.52801667,-2743.990014242425,-3598.633874207623,58,1,117.935,
59,2016-08-08T18:14:23Z,32.20375000,-101.52806667,-2742.990014242425,-3597.633874207623,59,1,117.947,
60,2016-08-08T18:14:24Z,32.20363333,-101.52811667,-2741.990014242425,-3596.633874207623,60,1,117.96,
61,2016-08-08T18:14:25Z,32.20350000,-101.52816667,-2740.990014242425,-3595.633874207623,61,1,117.975,
62,2016-08-08T18:14:26Z,32.20340000,-101.52823333,-2739.990014242425,-3594.633874207623,62,1,117.987,
63,2016-08-08T18:14:27Z,32.20330000,-101.52830000,-2738.990014242425,-3593.633874207623,63,1,118.0,
64,2016-08-08T18:14:28Z,32.20320000,-101.52836667,-2737.990014242425,-3592.633874207623,64,1,118.013,
65,2016-08-08T18:14:29Z,32.20311667,-101.52841667,-2736.990014242425,-3591.633874207623,65,1,118.023,
66,2016-08-08T18:14:30Z,32.20303333,-101.52846667,-2735.990014242425,-3590.633874207623,66,1,118.033,
67,2016-08-08T18:14:31Z,32.20293333,-101.52851667,-2734.990014242425,-3589.633874207623,67,1,118.045,
68,2016-08-08T18:14:32Z,32.20281667,-101.52858333,-2733.990014242425,-3588.633874207623,68,1,118.059,
69,2016-08-08T18:14:33Z,32.20266667,-101.52865000,-2732.990014242425,-3587.633874207623,69,1,118.076,
70,2016-08-08T18:14:34Z,32.20253333,-101.52870000,-2731.990014242425,-3586.633874207623,70,1,118.09,
71,2016-08-08T18:14:35Z,32.20238333,-101.52873333,-2730.990014242425,-3585.633874207623,71,1,118.106,
72,2016-08-08T18:14:36Z,32.20225000,-101.52875000,-2729.990014242425,-3584.633874207623,72,1,118.118,
73,2016-08-08T18:14:37Z,32.20213333,-101.52878333,-2728.990014242425,-3583.633874207623,73,1,118.13,
74,2016-08-08T18:14:38Z,32.20200000,-101.52880000,-2727.990014242425,-3582.633874207623,74,1,118.143,
75,2016-08-08T18:14:39Z,32.20188333,-101.52885000,-2726.990014242425,-3581.633874207623,75,1,118.156,
76,2016-08-08T18:14:40Z,32.20176667,-101.52888333,-2725.990014242425,-3580.633874207623,76,1,118.168,
77,2016-08-08T18:14:41Z,32.20166667,-101.52893333,-2724.990014242425,-3579.633874207623,77,1,118.18,
78,2016-08-08T18:14:42Z,32.20155000,-101.52896667,-2723.990014242425,-3578.633874207623,78,1,118.192,
79,2016-08-08T18:14:43Z,32.20145000,-101.52901667,-2722.990014242425,-3577.633874207623,79,1,118.204,
80,2016-08-08T18:14:44Z,32.20133333,-101.52906667,-2721.990014242425,-3576.633874207623,80,1,118.217,
81,2016-08-08T18:14:45Z,32.20121667,-101.52913333,-2720.990014242425,-3575.633874207623,81,1,118.231,
82,2016-08-08T18:14:46Z,32.20110000,-101.52918333,-2719.990014242425,-3574.633874207623,82,1,118.244,
83,2016-08-08T18:14:47Z,32.20100000,-101.52925000,-2718.990014242425,-3573.633874207623,83,1,118.257,
84,2016-08-08T18:14:48Z,32.20090000,-101.52933333,-2717.990014242425,-3572.633874207623,84,1,118.271,
85,2016-08-08T18:14:49Z,32.20078333,-101.52940000,-2716.990014242425,-3571.633874207623,85,1,118.285,
86,2016-08-08T18:14:50Z,32.20066667,-101.52946667,-2715.990014242425,-3570.633874207623,86,1,118.299,
87,2016-08-08T18:14:51Z,32.20055000,-101.52953333,-2714.990014242425,-3569.633874207623,87,1,118.313,
88,2016-08-08T18:14:52Z,32.20043333,-101.52960000,-2713.990014242425,-3568.633874207623,88,1,118.327,
89,2016-08-08T18:14:53Z,32.20033333,-101.52968333,-2712.990014242425,-3567.633874207623,89,1,118.341,
90,2016-08-08T18:14:54Z,32.20023333,-101.52975000,-2711.990014242425,-3566.633874207623,90,1,118.353,
91,2016-08-08T18:14:55Z,32.20015000,-101.52981667,-2710.990014242425,-3565.633874207623,91,1,118.364,
92,2016-08-08T18:14:56Z,32.20005000,-101.52988333,-2709.990014242425,-3564.633874207623,92,1,118.377,
93,2016-08-08T18:14:57Z,32.19996667,-101.52995000,-2708.990014242425,-3563.633874207623,93,1,118.388,
94,2016-08-08T18:14:58Z,32.19990000,-101.53003333,-2707.990014242425,-3562.633874207623,94,1,118.399,
95,2016-08-08T18:14:59Z,32.19981667,-101.53011667,-2706.990014242425,-3561.633874207623,95,1,118.411,
96,2016-08-08T18:15:00Z,32.19973333,-101.53020000,-2705.990014242425,-3560.633874207623,96,1,118.423,
97,2016-08-08T18:15:01Z,32.19965000,-101.53030000,-2704.990014242425,-3559.633874207623,97,1,118.436,
98,2016-08-08T18:15:02Z,32.19956667,-101.53040000,-2703.990014242425,-3558.633874207623,98,1,118.449,
99,2016-08-08T18:15:03Z,32.19948333,-101.53050000,-2702.990014242425,-3557.633874207623,99,1,118.462,
100,2016-08-08T18:15:04Z,32.19940000,-101.53058333,-2701.990014242425,-3556.633874207623,100,1,118.475,
101,2016-08-08T18:15:05Z,32.19933333,-101.53068333,-2700.990014242425,-3555.633874207623,101,1,118.486,
102,2016-08-08T18:15:06Z,32.19926667,-101.53076667,-2699.990014242425,-3554.633874207623,102,1,118.497,
103,2016-08-08T18:15:07Z,32.19918333,-101.53083333,-2698.990014242425,-3553.633874207623,103,1,118.508,
104,2016-08-08T18:15:08Z,32.19911667,-101.53091667,-2697.990014242425,-3552.633874207623,104,1,118.519,
105,2016-08-08T18:15:09Z,32.19903333,-101.53096667,-2696.990014242425,-3551.633874207623,105,1,118.529,
106,2016-08-08T18:15:10Z,32.19896667,-101.53101667,-2695.990014242425,-3550.633874207623,106,1,118.538,
107,2016-08-08T18:15:11Z,32.19890000,-101.53105000,-2694.990014242425,-3549.633874207623,107,1,118.545,
